россия	1754
франция	200
италия	183
польша	151
египет	134
греция	128
индия	116
германия	109
англия	89
израиль	71
украина	70
литва	69
испания	67
ливан	63
грузия	54
куба	35
ватикан	34
иран	29
япония	27
австралия	26
финляндия	23
норвегия	21
мексика	21
дания	19
шотландия	19
австрия	19
турция	18
гренада	18
швейцария	17
венгрия	17
канада	15
ливия	14
армения	14
сербия	13
сирия	13
алжир	13
бельгия	12
болгария	11
судан	11
казахстан	10
бразилия	10
гибралтар	10
чили	9
чехия	9
молдавия	9
белоруссия	8
латвия	8
эстония	8
катар	8
азербайджан	8
марокко	8
тунис	7
мадагаскар	7
ирландия	7
аргентина	7
люксембург	7
узбекистан	7
сомали	6
монако	6
гвинея	6
парагвай	6
эфиопия	6
монголия	6
мальта	6
йемен	5
швеция	5
португалия	5
исландия	5
таджикистан	4
нидерланды	4
вьетнам	4
афганистан	4
уругвай	4
нигер	4
колумбия	4
гватемала	3
венесуэла	3
сингапур	3
самоа	3
словения	3
макао	2
албания	2
словакия	2
непал	2
ямайка	2
маврикий	2
камерун	2
перу	2
фиджи	2
ангола	2
румыния	2
сальвадор	2
белиз	2
кения	2
киргизия	2
туркмения	2
бенин	1
эквадор	1
бутан	1
доминика	1
оман	1
филиппины	1
нигерия	1
великобритания	1
коморы	1
суринам	1
черногория	1
мозамбик	1
эритрея	1
боливия	1
лаос	1
гана	1
джибути	1
ирак	1
гонконг	1
танзания	1
никарагуа	1
сенегал	1
